ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
31,Paris,French Open,2010-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Fognini F.,Massu N.,92,91,570,571,6,1,3,6,2,6,6,3,6,3,3,2,Completed,1.72,2,1.75,2,1.8,1.91,1.72,2.27,1.8,1.9,1.95,2.27,1.73,2.05
31,Paris,French Open,2010-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Tsonga J.W.,Brands D.,10,88,3185,577,4,6,6,3,6,2,6,7,7,5,3,2,Completed,1.05,9,1.04,9,1.06,8,1.06,13,1.05,8,1.08,13.11,1.05,9.19
31,Paris,French Open,2010-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Chiudinelli M.,Devvarman S.,68,108,715,473,6,3,3,6,6,3,3,6,6,3,3,2,Completed,1.9,1.8,2,1.75,1.83,1.83,1.96,1.96,1.91,1.8,2,1.96,1.91,1.83
31,Paris,French Open,2010-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Roger-Vasselin E.,Anderson K.,124,93,406,567,1,6,4,6,6,3,7,6,6,1,3,2,Completed,2.25,1.57,2.15,1.65,2.1,1.67,2.4,1.66,2.25,1.57,2.5,1.67,2.26,1.61
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Ball C.,Petzschner P.,132,39,391,1020,6,3,7,6,2,6,5,7,7,9,3,2,Completed,3.75,1.25,3.1,1.33,3.75,1.25,3.67,1.34,3.5,1.25,4,1.35,3.56,1.28
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Nishikori K.,Giraldo S.,246,58,190,821,2,6,4,6,7,6,6,2,6,4,3,2,Completed,2.75,1.4,2.8,1.4,2.63,1.44,2.9,1.48,2.75,1.4,3,1.55,2.73,1.42
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Lacko L.,Yani M.,81,151,614,315,4,6,7,6,7,6,6,7,12,10,3,2,Completed,1.66,2.1,1.85,1.9,1.73,2,1.65,2.42,1.73,2,1.78,2.42,1.69,2.11
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Murray A.,Gasquet R.,4,45,5565,920,4,6,6,7,6,4,6,2,6,1,3,2,Completed,1.44,2.62,1.5,2.5,1.44,2.63,1.55,2.66,1.5,2.63,1.59,2.89,1.5,2.54
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Dolgopolov O.,Clement A.,56,76,824,635,3,6,7,6,3,6,6,3,6,3,3,2,Completed,1.33,3.25,1.4,2.8,1.36,3,1.36,3.49,1.36,2.88,1.4,3.49,1.36,3.04
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Almagro N.,Haase R.,21,205,1690,230,6,4,3,6,4,6,7,6,6,4,3,2,Completed,1.02,12,1.04,9,1.04,9,1.06,13,1.03,10,1.05,14,1.03,10.23
