"","tourney_date","tourney_name","surface","draw_size","tourney_level","match_num","winner_id","loser_id","best_of","winner_rank","winner_rank_points","loser_rank","loser_rank_points","player_rank","player_id"
"1",2010-01-11,"Auckland","Hard",28,"A",4,103967,105554,"3",209,223,266,167,266,"Daniel Evans"
"2",2010-01-11,"Sydney","Hard",28,"A",2,104755,103852,"3",53,805,46,905,46,"Feliciano Lopez"
"3",2010-01-18,"Australian Open","Hard",128,"G",35,103852,104655,"5",46,905,48,905,46,"Feliciano Lopez"
"4",2010-01-18,"Australian Open","Hard",128,"G",82,103852,102783,"5",46,905,107,505,46,"Feliciano Lopez"
"5",2010-01-18,"Australian Open","Hard",128,"G",105,104053,103852,"5",7,4510,46,905,46,"Feliciano Lopez"
"6",2010-02-01,"Johannesburg","Hard",32,"A",5,103852,104112,"3",39,985,234,194,39,"Feliciano Lopez"
"7",2010-02-01,"Johannesburg","Hard",32,"A",19,103852,104882,"3",39,985,117,472,39,"Feliciano Lopez"
"8",2010-02-01,"Johannesburg","Hard",32,"A",26,103852,104330,"3",39,985,83,588,39,"Feliciano Lopez"
"9",2010-02-01,"Johannesburg","Hard",32,"A",29,103852,104792,"3",39,985,13,2520,39,"Feliciano Lopez"
"10",2010-02-01,"Johannesburg","Hard",32,"A",31,103852,103565,"3",39,985,100,535,39,"Feliciano Lopez"
"11",2010-02-08,"Rotterdam","Hard",32,"A",16,103786,103852,"3",6,5290,33,1195,33,"Feliciano Lopez"
"12",2010-02-22,"Dubai","Hard",32,"A",3,102905,103852,"3",135,412,34,1190,34,"Feliciano Lopez"
"13",2010-03-05,"Davis Cup G2 R1: LTU vs GBR","Hard",4,"D",2,105575,105554,"5",198,238,252,178,252,"Daniel Evans"
"14",2010-03-05,"Davis Cup G2 R1: LTU vs GBR","Hard",4,"D",5,105827,105554,"5",521,54,252,178,252,"Daniel Evans"
"15",2010-03-11,"Indian Wells Masters","Hard",96,"M",47,103852,103908,"3",34,1190,41,930,34,"Feliciano Lopez"
"16",2010-03-11,"Indian Wells Masters","Hard",96,"M",72,104417,103852,"3",7,3905,34,1190,34,"Feliciano Lopez"
"17",2010-03-24,"Miami Masters","Hard",96,"M",42,103852,103582,"3",34,1205,51,842,34,"Feliciano Lopez"
"18",2010-03-24,"Miami Masters","Hard",96,"M",69,103888,103852,"3",101,505,34,1205,34,"Feliciano Lopez"
"19",2010-04-11,"Monte Carlo Masters","Clay",56,"M",10,104607,103852,"3",15,2270,35,1205,35,"Feliciano Lopez"
"20",2010-04-19,"Barcelona","Clay",56,"A",22,103852,105238,"3",35,1205,66,718,35,"Feliciano Lopez"
"21",2010-04-19,"Barcelona","Clay",56,"A",39,103852,104797,"3",35,1205,84,600,35,"Feliciano Lopez"
"22",2010-04-19,"Barcelona","Clay",56,"A",48,104417,103852,"3",8,4595,35,1205,35,"Feliciano Lopez"
"23",2010-04-25,"Rome Masters","Clay",56,"M",6,103852,103794,"3",35,1205,41,1004,35,"Feliciano Lopez"
"24",2010-04-25,"Rome Masters","Clay",56,"M",28,103852,105227,"3",35,1205,11,2980,35,"Feliciano Lopez"
"25",2010-04-25,"Rome Masters","Clay",56,"M",42,103852,103344,"3",35,1205,15,2250,35,"Feliciano Lopez"
"26",2010-04-25,"Rome Masters","Clay",56,"M",49,105208,103852,"3",40,1009,35,1205,35,"Feliciano Lopez"
"27",2010-05-09,"Madrid Masters","Clay",56,"M",6,103852,103997,"3",32,1340,53,824,32,"Feliciano Lopez"
"28",2010-05-09,"Madrid Masters","Clay",56,"M",28,103852,103169,"3",32,1340,103,516,32,"Feliciano Lopez"
"29",2010-05-09,"Madrid Masters","Clay",56,"M",42,105208,103852,"3",34,1324,32,1340,32,"Feliciano Lopez"
"30",2010-05-24,"Roland Garros","Clay",128,"G",4,104714,103852,"5",165,296,31,1420,31,"Feliciano Lopez"
"31",2010-06-07,"Queen's Club","Grass",56,"A",28,103852,105777,"3",31,1385,360,102,31,"Feliciano Lopez"
"32",2010-06-07,"Queen's Club","Grass",56,"A",42,103852,103898,"3",31,1385,38,1059,31,"Feliciano Lopez"
"33",2010-06-07,"Queen's Club","Grass",56,"A",49,103852,104745,"3",31,1385,1,8700,31,"Feliciano Lopez"
"34",2010-06-07,"Queen's Club","Grass",56,"A",53,103888,103852,"3",90,591,31,1385,31,"Feliciano Lopez"
"35",2010-06-13,"Eastbourne","Grass",32,"A",16,104868,103852,"3",342,111,30,1455,30,"Feliciano Lopez"
"36",2010-06-21,"Wimbledon","Grass",128,"G",5,103852,105028,"5",30,1455,115,439,30,"Feliciano Lopez"
"37",2010-06-21,"Wimbledon","Grass",128,"G",67,103852,105575,"5",30,1455,156,322,30,"Feliciano Lopez"
"38",2010-06-21,"Wimbledon","Grass",128,"G",98,103781,103852,"5",16,2125,30,1455,30,"Feliciano Lopez"
"39",2010-07-09,"Davis Cup WG QF: FRA vs ESP","Hard",4,"D",5,103898,103852,"3",33,1229,25,1535,25,"Feliciano Lopez"
"40",2010-07-26,"Los Angeles","Hard",28,"A",15,103852,104534,"3",27,1535,104,518,27,"Feliciano Lopez"
"41",2010-07-26,"Los Angeles","Hard",28,"A",22,103852,103484,"3",27,1535,117,450,27,"Feliciano Lopez"
"42",2010-07-26,"Los Angeles","Hard",28,"A",25,104918,103852,"3",4,5155,27,1535,27,"Feliciano Lopez"
"43",2010-08-09,"Canada Masters","Hard",56,"M",8,105217,103852,"3",46,955,25,1515,25,"Feliciano Lopez"
"44",2010-08-15,"Cincinnati Masters","Hard",56,"M",1,103758,103852,"3",83,629,24,1515,24,"Feliciano Lopez"
"45",2010-08-30,"US Open","Hard",128,"G",5,103852,105053,"5",25,1515,60,818,25,"Feliciano Lopez"
"46",2010-08-30,"US Open","Hard",128,"G",67,103852,105332,"5",25,1515,163,294,25,"Feliciano Lopez"
"47",2010-08-30,"US Open","Hard",128,"G",98,103852,104660,"5",25,1515,36,1183,25,"Feliciano Lopez"
"48",2010-08-30,"US Open","Hard",128,"G",113,104745,103852,"5",1,10745,25,1515,25,"Feliciano Lopez"
"49",2010-10-04,"Tokyo","Hard",32,"A",8,103852,105223,"3",23,1685,36,1170,23,"Feliciano Lopez"
"50",2010-10-04,"Tokyo","Hard",32,"A",20,104198,103852,"3",39,1130,23,1685,23,"Feliciano Lopez"
"51",2010-10-10,"Shanghai Masters","Hard",56,"M",10,104542,103852,"3",13,2390,22,1685,22,"Feliciano Lopez"
"52",2010-10-18,"Stockholm","Hard",28,"A",10,104252,103852,"3",47,986,30,1335,30,"Feliciano Lopez"
"53",2010-10-31,"Valencia","Hard",32,"A",1,104918,103852,"3",4,6125,31,1335,31,"Feliciano Lopez"
"54",2010-11-07,"Paris Masters","Hard",48,"M",8,103096,103852,"3",72,697,31,1300,31,"Feliciano Lopez"
"55",2011-01-02,"Brisbane","Hard",32,"A",9,103852,104332,"3",32,1300,57,839,32,"Feliciano Lopez"
"56",2011-01-02,"Brisbane","Hard",32,"A",21,104731,103852,"3",61,813,32,1300,32,"Feliciano Lopez"
"57",2011-01-10,"Sydney","Hard",28,"A",10,105223,103852,"3",259,180,32,1310,32,"Feliciano Lopez"
"58",2011-01-17,"Australian Open","Hard",128,"G",4,103852,104268,"5",31,1310,103,540,31,"Feliciano Lopez"
"59",2011-01-17,"Australian Open","Hard",128,"G",66,106071,103852,"5",199,251,31,1310,31,"Feliciano Lopez"
"60",2011-01-31,"Johannesburg","Hard",32,"A",1,104433,103852,"3",234,207,33,1265,33,"Feliciano Lopez"
"61",2011-02-07,"Rotterdam","Hard",32,"A",15,103852,104252,"3",44,1025,35,1168,44,"Feliciano Lopez"
"62",2011-02-07,"Rotterdam","Hard",32,"A",24,104571,103852,"3",20,1580,44,1025,44,"Feliciano Lopez"
"63",2011-02-21,"Dubai","Hard",32,"A",15,103852,104229,"3",41,1060,42,1059,41,"Feliciano Lopez"
"64",2011-02-21,"Dubai","Hard",32,"A",24,104925,103852,"3",3,7880,41,1060,41,"Feliciano Lopez"
"65",2011-03-04,"Davis Cup WG R1: BEL vs ESP","Hard",4,"D",5,104327,103852,"3",129,439,40,1085,40,"Feliciano Lopez"
"66",2011-03-10,"Indian Wells Masters","Hard",96,"M",20,103898,103852,"3",82,600,41,1085,41,"Feliciano Lopez"
"67",2011-03-23,"Miami Masters","Hard",96,"M",2,103852,105575,"3",41,1050,75,663,41,"Feliciano Lopez"
"68",2011-03-23,"Miami Masters","Hard",96,"M",34,103852,103428,"3",41,1050,28,1305,41,"Feliciano Lopez"
"69",2011-03-23,"Miami Masters","Hard",96,"M",65,104745,103852,"3",1,12630,41,1050,41,"Feliciano Lopez"
"70",2011-04-10,"Monte Carlo Masters","Clay",56,"M",18,103852,104386,"3",43,1050,37,1100,43,"Feliciano Lopez"
"71",2011-04-10,"Monte Carlo Masters","Clay",56,"M",36,103970,103852,"3",6,4600,43,1050,43,"Feliciano Lopez"
