"tourney_date","tourney_name","surface","draw_size","tourney_level","match_num","winner_id","loser_id","best_of","winner_rank","winner_rank_points","loser_rank","loser_rank_points","higher_rank_won","higher_rank_points","lower_rank_points","diff"
2010-01-03,"Brisbane","Hard",32,"A",1,104053,103429,"3",7,4410,77,598,TRUE,4410,598,3812
2010-01-03,"Brisbane","Hard",32,"A",2,104958,104999,"3",134,400,78,590,FALSE,590,400,190
2010-01-03,"Brisbane","Hard",32,"A",3,104755,103813,"3",52,850,88,568,TRUE,850,568,282
2010-01-03,"Brisbane","Hard",32,"A",4,105051,103781,"3",285,151,28,1260,FALSE,1260,151,1109
2010-01-03,"Brisbane","Hard",32,"A",5,104607,105194,"3",20,1655,251,179,TRUE,1655,179,1476
2010-01-03,"Brisbane","Hard",32,"A",6,104571,103888,"3",42,945,55,790,TRUE,945,790,155
2010-01-03,"Brisbane","Hard",32,"A",7,103248,103566,"3",119,461,67,649,FALSE,649,461,188
2010-01-03,"Brisbane","Hard",32,"A",8,105064,103428,"3",36,1021,73,611,TRUE,1021,611,410
2010-01-03,"Brisbane","Hard",32,"A",9,103484,105023,"3",44,935,25,1320,FALSE,1320,935,385
2010-01-03,"Brisbane","Hard",32,"A",10,102967,104332,"3",58,744,80,587,TRUE,744,587,157
