tourney_date,tourney_name,surface,draw_size,tourney_level,match_num,winner_id,loser_id,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points
300,Hard,32,A,20000110,101704,,,F,,,,
299,Hard,32,A,20000110,101704,,,SF,,,,
298,Hard,32,A,20000110,101358,,,SF,,,,
297,Hard,32,A,20000110,101704,,,QF,,,,
296,Hard,32,A,20000110,101358,,,QF,,,,
295,Hard,32,A,20000110,102562,,,QF,,,,
294,Hard,32,A,20000110,102664,,,QF,,,,
293,Hard,32,A,20000110,101704,,,R16,,,,
292,Hard,32,A,20000110,101358,,,R16,,,,
291,Hard,32,A,20000110,102562,,,R16,,,,
290,Hard,32,A,20000110,101565,,,R16,,,,
289,Hard,32,A,20000110,102057,,,R16,,,,
288,Hard,32,A,20000110,101342,,,R16,,,,
287,Hard,32,A,20000110,102664,,,R16,,,,
286,Hard,32,A,20000110,103483,,,R16,,,,
300,Clay,32,A,20000522,102405,,,F,,,,
299,Clay,32,A,20000522,102405,,,SF,,,,
298,Clay,32,A,20000522,102247,,,SF,,,,
297,Clay,32,A,20000522,102405,,,QF,,,,
296,Clay,32,A,20000522,102998,,,QF,,,,
295,Clay,32,A,20000522,102247,,,QF,,,,
294,Clay,32,A,20000522,101937,,,QF,,,,
293,Clay,32,A,20000522,102405,,,R16,,,,
292,Clay,32,A,20000522,102388,,,R16,,,,
291,Clay,32,A,20000522,101341,,,R16,,,,
290,Clay,32,A,20000522,102998,,,R16,,,,
289,Clay,32,A,20000522,102057,,,R16,,,,
288,Clay,32,A,20000522,102247,,,R16,,,,
287,Clay,32,A,20000522,101937,,,R16,,,,
286,Clay,32,A,20000522,101761,,,R16,,,,
300,Clay,32,A,20000501,101682,,,F,,,,
299,Clay,32,A,20000501,101682,,,SF,,,,
298,Clay,32,A,20000501,103018,,,SF,,,,
297,Clay,32,A,20000501,101682,,,QF,,,,
296,Clay,32,A,20000501,102477,,,QF,,,,
295,Clay,32,A,20000501,102533,,,QF,,,,
294,Clay,32,A,20000501,103018,,,QF,,,,
293,Clay,32,A,20000501,101682,,,R16,,,,
292,Clay,32,A,20000501,102477,,,R16,,,,
291,Clay,32,A,20000501,102215,,,R16,,,,
290,Clay,32,A,20000501,102358,,,R16,,,,
289,Clay,32,A,20000501,101841,,,R16,,,,
288,Clay,32,A,20000501,102533,,,R16,,,,
287,Clay,32,A,20000501,103018,,,R16,,,,
286,Clay,32,A,20000501,101761,,,R16,,,,
300,Grass,56,A,20000612,101185,,,F,,,,
299,Grass,56,A,20000612,101185,,,SF,,,,
298,Grass,56,A,20000612,101890,,,SF,,,,
297,Grass,56,A,20000612,101185,,,QF,,,,
296,Grass,56,A,20000612,102205,,,QF,,,,
295,Grass,56,A,20000612,102286,,,QF,,,,
294,Grass,56,A,20000612,101890,,,QF,,,,
293,Grass,56,A,20000612,101890,,,R16,,,,
292,Grass,56,A,20000612,101185,,,R16,,,,
291,Grass,56,A,20000612,103018,,,R16,,,,
290,Grass,56,A,20000612,102979,,,R16,,,,
289,Grass,56,A,20000612,102205,,,R16,,,,
288,Grass,56,A,20000612,102286,,,R16,,,,
287,Grass,56,A,20000612,101983,,,R16,,,,
286,Grass,56,A,20000612,103184,,,R16,,,,
285,Grass,56,A,20000612,102205,,,R32,,,,
284,Grass,56,A,20000612,102286,,,R32,,,,
283,Grass,56,A,20000612,102998,,,R32,,,,
282,Grass,56,A,20000612,101885,,,R32,,,,
281,Grass,56,A,20000612,103184,,,R32,,,,
280,Grass,56,A,20000612,102979,,,R32,,,,
