ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Johnson S.,11.0,175.0,2515.0,302.0,7.0,5.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,2.0,3.0,2.0,Completed,1.14,5.5,1.13,5.75,1.11,6.0,1.19,5.54,1.13,6.0,1.19,7.9,1.14,5.49
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Gimeno-Traver D.,Kubot L.,71.0,76.0,704.0,675.0,6.0,7.0,6.0,4.0,6.0,0.0,4.0,6.0,6.0,4.0,3.0,2.0,Completed,3.25,1.33,3.15,1.35,3.4,1.3,3.97,1.29,2.75,1.44,3.97,1.44,3.25,1.33
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Roger-Vasselin E.,Bemelmans R.,101.0,114.0,539.0,486.0,6.0,3.0,6.0,7.0,2.0,6.0,7.0,5.0,11.0,9.0,3.0,2.0,Completed,2.2,1.61,2.05,1.75,2.0,1.73,2.11,1.81,2.0,1.8,2.38,1.81,2.07,1.72
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Goffin D.,24.0,49.0,1445.0,843.0,6.0,3.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.61,2.2,1.65,2.2,1.62,2.25,1.72,2.25,1.57,2.38,1.8,2.38,1.66,2.19
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Ebden M.,25.0,108.0,1335.0,509.0,4.0,6.0,6.0,7.0,6.0,2.0,7.0,6.0,6.0,3.0,3.0,2.0,Completed,1.16,5.0,1.2,4.4,1.17,5.0,1.19,5.39,1.17,5.0,1.2,6.7,1.17,4.93
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Baker B.,Bogomolov A.,57.0,133.0,776.0,422.0,7.0,6.0,6.0,3.0,6.0,7.0,3.0,6.0,6.0,2.0,3.0,2.0,Completed,1.72,2.0,1.65,2.2,1.67,2.1,1.85,2.07,1.62,2.25,1.85,2.25,1.71,2.08
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Ito T.,Millman J.,84.0,184.0,633.0,279.0,6.0,4.0,6.0,4.0,3.0,6.0,0.0,6.0,7.0,5.0,3.0,2.0,Completed,3.75,1.25,3.4,1.3,3.0,1.36,3.89,1.3,3.0,1.36,4.05,1.36,3.48,1.3
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Stepanek R.,Troicki V.,34.0,37.0,1090.0,1030.0,5.0,7.0,4.0,6.0,6.0,3.0,6.0,3.0,7.0,5.0,3.0,2.0,Completed,2.5,1.5,2.55,1.5,2.62,1.44,2.62,1.56,2.2,1.67,2.88,1.56,2.59,1.49
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Bautista R.,Fognini F.,56.0,47.0,786.0,880.0,6.0,0.0,2.0,6.0,6.0,4.0,3.0,6.0,6.0,1.0,3.0,2.0,Completed,2.0,1.72,1.98,1.8,2.0,1.73,2.03,1.87,2.0,1.8,2.18,1.89,2.0,1.77
6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Ramos A.,35.0,51.0,1070.0,830.0,6.0,7.0,7.0,6.0,6.0,4.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,1.08,8.0,1.07,8.0,1.07,8.0,1.09,8.91,1.08,7.5,1.1,9.4,1.08,7.5
