ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,Melzer G.,301,87.0,164,648.0,5.0,7.0,6.0,3.0,2.0,6.0,7.0,6.0,6.0,1.0,3.0,2.0,Completed,2.5,1.53,2.2,1.52,2.5,1.53,2.5,1.6,2.62,1.6,2.45,1.54
6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Dzumhur D.,35,78.0,1225,694.0,6.0,4.0,6.0,4.0,2.0,6.0,2.0,6.0,6.0,3.0,3.0,2.0,Completed,1.22,4.33,1.16,4.1,1.22,4.33,1.22,4.93,1.25,4.93,1.22,4.25
6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Kuznetsov An.,5,45.0,5010,1015.0,5.0,7.0,6.0,1.0,6.0,4.0,6.0,7.0,6.0,2.0,3.0,2.0,Completed,1.08,8.0,1.06,6.25,1.08,8.0,1.11,8.36,1.12,8.5,1.09,7.23
6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Janowicz J.,7,273.0,3605,186.0,4.0,6.0,4.0,6.0,6.0,2.0,6.0,2.0,6.0,3.0,3.0,2.0,Completed,1.1,7.0,1.08,5.5,1.09,7.0,1.12,7.65,1.12,7.65,1.1,6.78
6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Lacko L.,Ramos-Vinolas A.,121,26.0,486,1435.0,4.0,6.0,7.0,5.0,1.0,6.0,6.0,4.0,6.0,3.0,3.0,2.0,Completed,2.2,1.66,2.05,1.62,2.1,1.73,2.2,1.75,2.38,1.75,2.17,1.67
6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Rubin N.,Fratangelo B.,200,113.0,274,519.0,6.0,7.0,7.0,5.0,3.0,6.0,6.0,2.0,6.0,2.0,3.0,2.0,Completed,2.37,1.57,2.1,1.58,2.2,1.62,2.35,1.67,2.55,1.67,2.31,1.6
6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Klizan M.,4,34.0,5155,1230.0,4.0,6.0,6.0,4.0,7.0,5.0,4.0,6.0,6.0,4.0,3.0,2.0,Completed,1.05,11.0,1.02,7.5,1.04,11.0,1.07,11.52,1.07,12.0,1.05,10.2
6,Melbourne,Australian Open,2017-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Dutra Silva R.,Donaldson J.,439,101.0,92,596.0,3.0,6.0,0.0,6.0,6.0,1.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,4.0,1.25,3.5,1.2,3.75,1.25,4.3,1.26,4.33,1.27,4.02,1.23
6,Melbourne,Australian Open,2017-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Haase R.,24,57.0,1655,808.0,6.0,2.0,3.0,6.0,5.0,7.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,1.1,7.0,1.08,5.6,1.12,6.0,1.13,7.38,1.17,7.38,1.11,6.41
6,Melbourne,Australian Open,2017-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Opelka R.,11,208.0,2750,267.0,6.0,4.0,4.0,6.0,6.0,2.0,4.0,6.0,6.0,4.0,3.0,2.0,Completed,1.16,5.0,1.11,4.9,1.17,5.0,1.16,6.2,1.17,6.33,1.14,5.48
6,Melbourne,Australian Open,2017-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Polansky P.,31,132.0,1370,454.0,6.0,0.0,3.0,6.0,3.0,6.0,6.0,2.0,3.0,0.0,2.0,2.0,Retired,1.22,4.33,1.22,3.4,1.2,4.33,1.24,4.65,1.26,4.65,1.22,4.24
6,Melbourne,Australian Open,2017-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Sousa J.,76,37.0,699,1135.0,6.0,7.0,4.0,6.0,6.0,3.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,2.5,1.53,2.35,1.45,2.38,1.57,2.66,1.54,2.67,1.6,2.48,1.52
6,Melbourne,Australian Open,2017-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Zeballos H.,21,68.0,1795,725.0,6.0,7.0,3.0,6.0,7.0,5.0,6.0,2.0,22.0,20.0,3.0,2.0,Completed,1.28,3.75,1.22,3.3,1.33,3.4,1.3,3.89,1.33,3.89,1.29,3.54
6,Melbourne,Australian Open,2017-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Zverev M.,Isner J.,50,19.0,894,1850.0,6.0,7.0,6.0,7.0,6.0,4.0,7.0,6.0,9.0,7.0,3.0,2.0,Completed,2.75,1.44,2.65,1.38,2.75,1.44,3.03,1.44,3.03,1.5,2.79,1.42
6,Melbourne,Australian Open,2017-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Troicki V.,Lorenzi P.,35,43.0,1225,1033.0,6.0,3.0,1.0,6.0,7.0,6.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,1.22,4.33,1.2,3.7,1.25,4.0,1.23,4.77,1.29,4.77,1.23,4.17
6,Melbourne,Australian Open,2017-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Seppi A.,Kyrgios N.,89,13.0,635,2460.0,1.0,6.0,6.0,7.0,6.0,4.0,6.0,2.0,10.0,8.0,3.0,2.0,Completed,8.0,1.08,5.6,1.08,6.5,1.11,8.67,1.1,8.67,1.12,7.29,1.09
6,Melbourne,Australian Open,2017-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Istomin D.,Djokovic N.,117,2.0,498,11780.0,7.0,6.0,5.0,7.0,2.0,6.0,7.0,6.0,6.0,4.0,3.0,2.0,Completed,23.0,1.01,10.0,1.0,21.0,1.01,27.22,1.01,41.0,1.01,21.2,1.01
6,Melbourne,Australian Open,2017-01-19,Grand Slam,Outdoor,Hard,2nd Round,5,Paire B.,Fognini F.,47,48.0,960,945.0,7.0,6.0,4.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,2.1,1.72,2.0,1.65,2.1,1.67,2.17,1.78,2.2,1.78,2.09,1.72
6,Melbourne,Australian Open,2017-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Istomin D.,Carreno Busta P.,117,31.0,498,1370.0,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,2.0,3.0,2.0,Completed,3.4,1.33,2.85,1.33,3.25,1.33,3.62,1.34,3.62,1.4,3.28,1.33
6,Melbourne,Australian Open,2017-01-21,Grand Slam,Outdoor,Hard,3rd Round,5,Nadal R.,Zverev A.,9,24.0,3195,1655.0,4.0,6.0,6.0,3.0,6.0,7.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,1.3,3.5,1.3,2.85,1.33,3.4,1.34,3.67,1.37,3.67,1.32,3.35
6,Melbourne,Australian Open,2017-01-22,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Nishikori K.,17,5.0,1980,5010.0,6.0,7.0,6.0,4.0,6.0,1.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,1.66,2.2,1.5,2.3,1.67,2.2,1.74,2.25,1.74,2.43,1.61,2.29
6,Melbourne,Australian Open,2017-01-26,Grand Slam,Outdoor,Hard,Semifinals,5,Federer R.,Wawrinka S.,17,4.0,1980,5155.0,7.0,5.0,6.0,3.0,1.0,6.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,1.53,2.5,1.5,2.35,1.53,2.5,1.54,2.73,1.6,2.75,1.52,2.55
6,Melbourne,Australian Open,2017-01-27,Grand Slam,Outdoor,Hard,Semifinals,5,Nadal R.,Dimitrov G.,9,15.0,3195,2135.0,6.0,3.0,5.0,7.0,7.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.36,3.25,1.35,2.9,1.4,3.0,1.39,3.37,1.45,3.42,1.36,3.18
6,Melbourne,Australian Open,2017-01-29,Grand Slam,Outdoor,Hard,The Final,5,Federer R.,Nadal R.,17,9.0,1980,3195.0,6.0,4.0,3.0,6.0,6.0,1.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,2.2,1.72,1.95,1.75,2.1,1.8,2.25,1.75,2.26,1.92,2.13,1.74
33,Paris,French Open,2017-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Trungelliti M.,Halys Q.,162,126.0,348,453.0,3.0,6.0,6.0,7.0,7.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,2.0,1.8,2.0,1.72,2.0,1.8,2.2,1.75,2.2,1.85,2.05,1.76
33,Paris,French Open,2017-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Pouille L.,Benneteau J.,17,98.0,2320,554.0,7.0,6.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.08,8.0,1.06,7.25,1.08,7.5,1.08,9.87,1.08,10.1,1.07,8.53
33,Paris,French Open,2017-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Schwartzman D.,Rublev A.,41,118.0,1005,483.0,0.0,6.0,6.0,4.0,6.0,2.0,6.0,7.0,9.0,7.0,3.0,2.0,Completed,1.12,6.0,1.1,5.9,1.14,5.5,1.13,7.05,1.14,7.1,1.12,6.2
33,Paris,French Open,2017-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Johnson S.,Sugita Y.,26,78.0,1565,674.0,6.0,3.0,6.0,3.0,6.0,7.0,6.0,7.0,6.0,3.0,3.0,2.0,Completed,1.22,4.33,1.18,4.3,1.17,5.0,1.21,5.0,1.23,5.0,1.2,4.5
33,Paris,French Open,2017-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Dutra Silva R.,Youzhny M.,380,86.0,121,624.0,4.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,6.0,2.0,3.0,2.0,Completed,1.66,2.2,1.65,2.1,1.67,2.2,1.74,2.22,1.74,2.3,1.68,2.17
33,Paris,French Open,2017-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Ferrer D.,Young D.,33,51.0,1185,910.0,5.0,7.0,6.0,3.0,4.0,6.0,6.0,3.0,13.0,11.0,3.0,2.0,Completed,1.14,5.5,1.13,5.2,1.14,5.5,1.16,6.16,1.16,6.62,1.13,5.82
33,Paris,French Open,2017-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Estrella Burgos V.,Gabashvili T.,90,146.0,595,401.0,6.0,7.0,2.0,6.0,7.0,6.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,2.62,1.5,2.5,1.47,2.75,1.44,2.73,1.52,2.75,1.57,2.57,1.5
33,Paris,French Open,2017-05-29,Grand Slam,Outdoor,Clay,1st Round,5,Fognini F.,Tiafoe F.,29,68.0,1350,769.0,6.0,4.0,6.0,3.0,3.0,6.0,1.0,6.0,6.0,0.0,3.0,2.0,Completed,1.3,3.5,1.32,3.1,1.36,3.25,1.4,3.25,1.42,3.5,1.35,3.2
