ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,Polmans M.,62.0,169.0,818.0,317.0,5.0,7.0,1.0,6.0,6.0,2.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,1.28,3.75,1.28,4.14,1.33,4.15,1.27,3.84
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Carballes Baena R.,200.0,75.0,252.0,714.0,6.0,1.0,1.0,6.0,2.0,6.0,6.0,1.0,6.0,4.0,3.0,2.0,Completed,1.3,3.5,1.37,3.41,1.4,3.6,1.34,3.32
6,Melbourne,Australian Open,2019-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Bautista Agut R.,Murray A.,24.0,229.0,1605.0,220.0,6.0,4.0,6.0,4.0,6.0,7.0,6.0,7.0,6.0,2.0,3.0,2.0,Completed,1.2,4.5,1.26,4.3,1.26,5.0,1.21,4.55
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Majchrzak K.,9.0,176.0,3750.0,291.0,3.0,6.0,6.0,7.0,6.0,0.0,6.0,2.0,3.0,0.0,2.0,2.0,Retired,1.02,17.0,1.03,18.24,1.03,21.25,1.02,15.25
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Chung H.,Klahn B.,25.0,78.0,1585.0,704.0,6.0,7.0,6.0,7.0,6.0,3.0,6.0,2.0,6.0,4.0,3.0,2.0,Completed,1.44,2.75,1.58,2.54,1.59,2.75,1.52,2.54
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Sousa J.,Pella G.,44.0,65.0,1017.0,790.0,7.0,6.0,4.0,6.0,7.0,6.0,4.0,6.0,6.0,2.0,3.0,2.0,Completed,1.72,2.1,1.81,2.12,1.93,2.3,1.77,2.07
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Carreno Busta P.,Vanni L.,23.0,163.0,1705.0,325.0,6.0,7.0,2.0,6.0,6.0,3.0,7.0,5.0,6.0,4.0,3.0,2.0,Completed,1.28,3.75,1.3,3.9,1.3,4.2,1.28,3.74
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Humbert U.,36.0,95.0,1120.0,613.0,3.0,6.0,7.0,6.0,6.0,4.0,6.0,7.0,7.0,6.0,3.0,2.0,Completed,1.57,2.37,1.62,2.46,1.67,2.51,1.59,2.39
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Krajinovic F.,Cecchinato M.,93.0,18.0,620.0,1889.0,4.0,6.0,0.0,6.0,6.0,1.0,7.0,6.0,6.0,4.0,3.0,2.0,Completed,1.57,2.37,1.67,2.36,1.7,2.4,1.64,2.29
6,Melbourne,Australian Open,2019-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Paire B.,8.0,61.0,4095.0,820.0,6.0,4.0,6.0,3.0,5.0,7.0,1.0,6.0,6.0,3.0,3.0,2.0,Completed,1.28,3.75,1.29,4.05,1.32,4.2,1.29,3.68
6,Melbourne,Australian Open,2019-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Schwartzman D.,Kudla D.,16.0,62.0,1925.0,818.0,6.0,4.0,7.0,5.0,3.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.16,5.0,1.19,5.42,1.25,5.42,1.19,4.84
6,Melbourne,Australian Open,2019-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Basilashvili N.,Travaglia S.,20.0,137.0,1820.0,401.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,4.0,6.0,3.0,3.0,2.0,Completed,1.28,3.75,1.31,3.8,1.32,3.98,1.29,3.69
6,Melbourne,Australian Open,2019-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Fabbiano T.,Opelka R.,102.0,97.0,573.0,593.0,6.0,7.0,6.0,2.0,6.0,4.0,3.0,6.0,7.0,6.0,3.0,2.0,Completed,3.4,1.33,3.37,1.37,3.4,1.4,3.25,1.35
6,Melbourne,Australian Open,2019-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,Bautista Agut R.,Millman J.,24.0,37.0,1605.0,1108.0,6.0,3.0,6.0,1.0,3.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.33,3.4,1.34,3.63,1.36,3.7,1.32,3.46
6,Melbourne,Australian Open,2019-01-16,Grand Slam,Outdoor,Hard,2nd Round,5,De Minaur A.,Laaksonen H.,29.0,166.0,1353.0,319.0,6.0,4.0,6.0,2.0,6.0,7.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,1.04,13.0,1.06,12.94,1.06,13.0,1.05,10.7
6,Melbourne,Australian Open,2019-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Nishikori K.,Karlovic I.,9.0,73.0,3750.0,739.0,6.0,3.0,7.0,6.0,5.0,7.0,5.0,7.0,7.0,6.0,3.0,2.0,Completed,1.16,5.0,1.17,5.91,1.19,5.91,1.16,5.25
6,Melbourne,Australian Open,2019-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Sousa J.,Kohlschreiber P.,44.0,32.0,1017.0,1215.0,7.0,5.0,4.0,6.0,7.0,6.0,5.0,7.0,6.0,4.0,3.0,2.0,Completed,3.0,1.4,3.1,1.43,3.12,1.44,2.95,1.41
6,Melbourne,Australian Open,2019-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Bolt A.,Simon G.,155.0,30.0,343.0,1280.0,2.0,6.0,6.0,4.0,4.0,6.0,7.0,6.0,6.0,4.0,3.0,2.0,Completed,5.5,1.14,6.87,1.14,6.87,1.2,5.94,1.14
